,Filing Date,Symbol,Company Name,Price Range,Shares Offered,Price Range_nos,Avg_price,Shares_offered_value
101,2023-09-21,HSAC,Hainan Sirius Acquisition Corp.,10.00,6000000.0,1,10.0,60000000.0
102,2023-09-20,KDLY,"Kindly MD, Inc.",5.50,1272727.0,1,5.5,6999998.5
103,2023-09-15,ACSB,Acesis Holdings Corporation,4.00 - 6.00,1300000.0,2,5.0,6500000.0
104,2023-09-07,YAAS,Youxin Technology Ltd,4.00,2300000.0,1,4.0,9200000.0
105,2023-08-31,TYGJ,American Tuoyuan International Securities Group Inc,-,,0,0.0,
106,2023-08-24,MISN,Mission Control Acquisition Corp.,10.00,10000000.0,1,10.0,100000000.0
107,2023-08-23,HXSZ,Hongxu Shangzeng Global Holding Ltd,-,,0,0.0,
108,2023-08-21,NCEW,New Century Logistics (BVI) Limited,4.00 - 5.00,1250000.0,2,4.5,5625000.0
109,2023-08-11,ZXTY,Zhongxing Holding Group Ltd,-,,0,0.0,
110,2023-08-10,NAMI,Jinxin Technology Holding Company,4.00 - 5.00,1875000.0,2,4.5,8437500.0
111,2023-08-10,SXV,Six15 Technologies Holding Corp.,5.00,2000000.0,1,5.0,10000000.0
112,2023-08-08,ZDYM,"Zhiding Yuemei Technology Co., Limited",5.00,,1,5.0,
113,2023-08-04,JZL,Jizhilong Holding Group Ltd.,-,,0,0.0,
114,2023-08-02,VTA,Vittoria Limited,4.00 - 5.00,1750000.0,2,4.5,7875000.0
115,2023-07-27,PFAB,PreTam Holdings Inc.,4.35 - 6.35,800000.0,2,5.35,4280000.0
116,2023-07-26,CGRD,GRD Biotechnology Acquisition Limited,10.00,4000000.0,1,10.0,40000000.0
117,2023-07-26,HAND,"Hand in Hand Metaverse Marriage Technnology Co., Ltd",-,,0,0.0,
118,2023-07-19,CGTL,Creative Global Technology Holdings Limited,4.00 - 5.00,1250000.0,2,4.5,5625000.0
119,2023-07-19,FLAI,Flewber Global Inc.,4.00 - 5.00,2222223.0,2,4.5,10000003.5
120,2023-07-11,RAN,RanMarine Technology B.V.,5.50,1435000.0,1,5.5,7892500.0
121,2023-07-07,AZI,Autozi Internet Technology (Global) Ltd.,4.00 - 5.00,1250000.0,2,4.5,5625000.0
122,2023-07-05,LGM,Sixgomeow Ltd.,5.00,,1,5.0,
123,2023-07-03,RISE,"Rise Oil & Gas, Inc.",5.00,2000000.0,1,5.0,10000000.0
124,2023-06-30,SUBL,BioLingus (Cayman) Limited,20.00,360000.0,1,20.0,7200000.0
125,2023-06-30,RLND,The RoyaLand Company Ltd.,5.00 - 6.00,1250000.0,2,5.5,6875000.0
126,2023-06-23,MSW,Ming Shing Group Holdings Limited,5.00 - 8.00,1500000.0,2,6.5,9750000.0
127,2023-06-22,UNFL,"Unifoil Holdings, Inc.",4.00 - 6.00,3000000.0,2,5.0,15000000.0
128,2023-06-20,JDRR,"F3 Platform Biologics, Inc.",-,,0,0.0,
129,2023-06-09,MDRN,Modern Mining Technology Corp.,4.50 - 5.50,2000000.0,2,5.0,10000000.0
130,2023-05-22,ADVB,Advanced Biomed Inc.,4.00 - 5.00,25000000.0,2,4.5,112500000.0
131,2023-05-15,FPAQ,FPA Energy Acquisition Corp.,10.00,10000000.0,1,10.0,100000000.0
132,2023-05-03,AMGS,Prospect Energy Holdings Corp.,10.00,7500000.0,1,10.0,75000000.0
133,2023-05-01,ZRSP,Zerospo,4.00 - 5.00,1500000.0,2,4.5,6750000.0
134,2023-04-28,MJID,Majestic Ideal Holdings Ltd,4.00 - 5.00,2500000.0,2,4.5,11250000.0
135,2023-04-27,EHGO,Eshallgo Inc,4.00 - 6.00,3000000.0,2,5.0,15000000.0
136,2023-04-27,WOK,WORK Medical Technology Group LTD,4.00 - 5.00,2000000.0,2,4.5,9000000.0
137,2023-04-21,XJET,XJet Ltd.,4.00,1600000.0,1,4.0,6400000.0
138,2023-04-21,JPO,"JP Outfitters, Inc.",4.00,2400000.0,1,4.0,9600000.0
139,2023-03-31,SUNH,Xuhang Holdings Limited,4.00 - 5.00,2750000.0,2,4.5,12375000.0
140,2023-03-31,OSTX,OS Therapies Incorporated,5.00,2000000.0,1,5.0,10000000.0
141,2023-03-31,GFCX,GoodFaith Technology Inc.,4.00 - 6.00,3000000.0,2,5.0,15000000.0
142,2023-03-30,HUHU,HUHUTECH International Group Inc.,-,,0,0.0,
143,2023-03-24,USEE,USEE Electronic Commerce Ltd,-,,0,0.0,
144,2023-03-21,ORNC,"Oranco, Inc.",4.00 - 6.00,1500000.0,2,5.0,7500000.0
145,2023-03-20,CRGT,"Cortigent, Inc.",10.00,1500000.0,1,10.0,15000000.0
146,2023-03-16,CKHL,Chi Ko Holdings Limited,4.00 - 5.00,1740000.0,2,4.5,7830000.0
147,2023-03-13,OLSI,"Origin Life Sciences, Inc.",4.00,1875000.0,1,4.0,7500000.0
148,2023-03-02,DAZS,Da Ai Zhi Shui International Holding Group Ltd,-,,0,0.0,
149,2023-02-24,NTV,NeoTV Group Limited,6.00 - 6.50,6800000.0,2,6.25,42500000.0
150,2023-02-24,BSME,"MED EIBY Holding Co., Limited",4.00 - 6.00,4000000.0,2,5.0,20000000.0
151,2023-02-23,NOEM,CO2 Energy Transition Corp.,10.00,6000000.0,1,10.0,60000000.0
152,2023-02-16,GDD,Healthy Green Group Holding Limited,6.00 - 7.00,2000000.0,2,6.5,13000000.0
153,2023-02-15,ETZ,"Earntz Healthcare Products, Inc.",4.00 - 5.00,2500000.0,2,4.5,11250000.0
154,2023-02-14,HAHA,Harden Technologies Inc.,5.00 - 7.00,1000000.0,2,6.0,6000000.0
155,2023-02-14,IAMR,"Medical Industries of the Americas, Inc.",-,,0,0.0,
156,2023-02-10,WETO,Webus International Limited,4.00 - 6.00,4000000.0,2,5.0,20000000.0
157,2023-02-10,HXHX,Haoxin Holdings Limited,4.00 - 6.00,3000000.0,2,5.0,15000000.0
158,2023-02-09,DRFY,Droneify Holdings Limited,6.00 - 7.00,923077.0,2,6.5,6000000.5
159,2023-02-09,EPWK,EPWK Holdings Ltd.,-,,0,0.0,
160,2023-02-08,ZBJ,ZBJ Finance Group Ltd,-,,0,0.0,
161,2023-02-07,YZH,Yuezhonghui International Holdings Ltd.,-,,0,0.0,
162,2023-01-31,FBGL,FBS Global Limited,4.00 - 5.00,1875000.0,2,4.5,8437500.0
163,2023-01-24,THNK,"T1V, Inc.",4.00 - 6.00,3300000.0,2,5.0,16500000.0
164,2023-01-23,RPET,New Ruipeng Pet Group Inc.,-,,0,0.0,
